NameKlinik,Titel,DatumBewertung,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,QualitätBeratung,MedizBehandlung,VerwaltungAblaeufe
Klinikum Wahrendorff,Katharina A,22.06.2016,Psychosomatik,"Ich war in der Ktp in Wahrendorff.

Ich kann die nur jeden wärmstens empfehlen der ein Trauma erlitten hat. Tolles Team
, tolle Ärzte. Das Team ist sehr einfühlsam und geht auf die Mitpatienten ein. Man kann zu jeder Tageszeit sich an das Personal wenden.
Das Therapieangebot ist super, von jeden Thema etwas dabei. Gruppentherapie, Einzeltherapie, Sport in einem Fitnessstudio das zu Wahrendorff gehört, Achtsamkeitsübungen.
Morges um 8 Uhr sowie Abends um 17 Uhr gibt es immer eine gemeinsame Achtsamkeitsrunde mit allen Mitpatienten.
Es gibt Einzelzimmer und Doppelbettzimmer mit eigener Dusche und Fernsehen. Man kann dort seine Wäsche waschen. Alles in allem würde ich sie nur weiterempfehlen.",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,Sehr gutes Team und Pflegepersonal,03.06.2016,Suchttherapie,"Ich war Patient auf der ehemaligen FWK3 (2013,2014) und auf der Nachfolgestation KIP2.

Bin soweit sehr zufrieden mit der Station gewesen. Das Personal ist immer sehr freundlich gewesen und aber auch sehr zuvorkommend. Neben einem offenen Ohr nahmen sie sich immer viel Zeit, auch für noch so kleine Probleme.

Das therapeutische Angebot in den verschiedenen Gruppen ist sehr gut und basiert auf die Achtsamkeitstherapie. Was ich rege in Anspruch genommen habe. Die Therapeuten der Station konnte man zu jeder Zeit um einen Termin erfragen und sie machten alles Möglich um jeden Wunsch nachzukommen.

Was mir persönlich nicht so gefallen hat, ist die Stationsärztin. Ist aber der persönliche Geschmack. Der Stationsarzt war sehr kompetent und freundlich, aber auch manchmal bestimmend, was nicht so schlecht war.

Leider ist nach dem Umzug von der FWK3 im alten Gebäude in die KIP2 die Ergotherapie um ein vielfaches geschrumpft, weil man sie a) mit der KIP1 teilen muss und b) die Benutzerzeiten sich drastisch verkürzt hatten. Dennoch ein großes Kompliment an die beiden Ergotherapeuten, die sogar mich zum Malen bewegen konnten.",star-6,star-6,star-4,star-4
Klinikum Wahrendorff,Der Weg aus der Depression,06.01.2016,Psychosomatik,"Ich habe im letzten Jahr eine Therapie aufgrund einer schweren Depression in meinem Leben gemacht und es war die beste Entscheidung die Therapie auf der FWK1 zu machen. Die Therapie ist individuell auf einem abgestimmt und die Achtsamkeit, Gruppentherapien, Einzelgespräche, Yoga,Ergo, Sportangebote und Aktivitäten sind super . Die Oberärzte/Ärzte, Psychologinnen, Krankenschwestern, Ergotherapeuten sind einfühlend und ich habe mich so verstanden gefühlt. Allen voran der Stationsarzt, ein ""bunter-Typ"", wirkt fast wie ein ""Star"" und könnte bestimmt auch einen Abend im Fernsehprogramm füllen, jedoch ohne Allüren und mit so viel Gefühl,Verständnis, zu dem man zu jeder Zeit hinkommen konnte und Lösungen und Hilfestellung gefunden wurden. Er beginnt den Tag und begrüßt uns sogar jeden Tag in der Morgenrunde und ist mit einem auf einer Wellenlänge. Ich habe viel erfahren, über Skills, positive Aktivitäten, Verhalten und Denkweisen die meine Depression erschwert haben. Ich möchte nicht sagen:ich habe es aus der Depression geschafft und ich bekomme sie auch nicht mehr. Ich bin aber gesund und gestärkt durch die Therapie geworden.
Wenn es mir sehr schlecht gegangen ist, habe ich mich in die Med. Sprechstunde eingetragen , ich möchte nicht sagen es war ein ""Skill"" für mich, aber dieser Arzt kann durch Gespräche was in einem bewegen und verändern. Kaum nachzuvollziehen, wenn man es nicht erlebt hat. Wenn es mir irgenwann schlechter gehen sollte, weiß ich wo ich hingehen kann und hilfe bekomme. Vielen Dank FWK 1 !",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Behandlung kommt viel zu kurz, im Vordergrund steht der Kommerz !!!",07.07.2015,Psychiatrie,"Ich habe ein paar Wochen in einer Einrichtung des Imperiums "" Krankenhaus für die Seele "" verbracht.
Meine Erfahrungen waren erschreckend.
Meiner Meinung nach handelt es sich einfach um ein gigantisches Wirtschaftsunternehmen in dem viel Geld gemacht wird allerdings überwiegend oberflächlich behandelt wird.
Natürlich gibt es auch engagiertes Personal aber das ist äußerst rar.
Am meisten hat mich erschreckt, wie der Konsum von Alkohol bis hin zu allen möglichen Drogen verharmlost wird.
Kommentar"" Der Konsum ist doch ok.
Dabei ist doch der Konsum erst einmal die Ursache vieler psychischen Erkrankungen, verschlimmert sie oder führt hin bis zu dauerhaften psychischen Schäden.
Wird der Konsum aller möglicher Drogen vielleicht
verharmlost weil ja so die Kunden von morgen für das Imperium entstehen.
Ich jedenfalls bin entsetzt.
Dann waren ewig lange Pausenzeiten zwischen den Therapien belastend.
Auch eine detaillierte Erstellung eines Therapieplans wurde nicht vorgenommen.
Einen Tag war ich in der einen Therapiegruppe in der ich aber nächstes Mal nicht unbedingt war. Also habe ich den Anschluss in der Gruppe verpasst und habe halt stattdessen gemalt.
Mein Hausarzt, ein Internist, bat mich dringend, meine Medikamente überprüfen zu lassen.
Ich sprach dies unzählige Male an. Nichts passierte. Doch, es ging mir immer schlechter und ich wurde immer depressiver.
Dann zog ich die Notbremse und lies mich entlassen",star-0,star-0,star-0,star-2
Klinikum Wahrendorff,beste Station überhaupt!,14.03.2015,Psychosomatik,"Ein tolles, Engagiertes Team. Alle verstehen Ihr Fachgebiet. Auf besonderer Wünsche werden, soweit wie möglich, eingegangen. Mann kann zu jeder Tages- und Nachtzeit ein Gespräch mit der Pflege führen. Auch die Therapeuten sind jederzeit ansprechbar. Wer endlich weg von seinen Psychopharmaka will, ist hier genau richtig. Anstelle schwierige Situationen mit Medis abzufangen, werden Skills ausgearbeitet, die einen helfen, aus einer schwierigen Situation wieder raus zu kommen. Natürlich ist es erst einmal eine Übungssache, aber mit der Hilfe vor Ort, hat man schnell raus, welche Skills einem helfen. Ich war zum 5x dort. Komme extra aus Hamburg, und würde nur noch in die KTP gehen. Man wird ernst genommen und mit viel Empathie wird das jeweilige Problem angegangen. Ich kann die KTP nur wärmstens empfehlen!

Danke an das gesamte Team! Sie sind große Klasse und helfen mir wirklich sehr :)

Herzliche Grüße, I. Gideon",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"TK Gartenstraße, sehr zu empfehlen!",09.01.2015,Psychosomatik,"Ich befinde mich in einer Intervalltherapie in der Tageklinik in der Gartenstraße.
Diese TK kann ich nur empfehlen!

Man merkt das gute Klima des Teams. Das gesamte Personal ist sehr freundlich, zugewandt und kompetent.
Es wird sehr achtsam mit den Patienten umgegangen. Man findet jeder Zeit ein offenes Ohr und wird auch bei Kriesen gut aufgefangen und durch schwierige Phasen begleitet.

Die Klinik bietet Verhaltenstherapie nach dem DBT an.
Die unterschiedlichen Gruppen (Skillstraining, Gruppentraining sozialer Kompetenzen, Achtsamkeit, usw) helfen mir sehr mich mit meinen Themen auseinander zu setzen und gleichzeitig den Bezug zur Außenwelt nicht zu verlieren.

Mit meiner Bezugstherapeutin kann ich sehr gut zusammenarbeiten, sie war sehr geduldig, bis ich endlich, ein bisschen, Vertrauen fassen konnte und geht feinfühlig und einfach großartig mit ""unseren"" vielen, unterschiedlichen, Themen um. Da werde sogar ich (Bindungstraumatisierte) wieder eingefangen um weiter zu arbeiten :)

Demnächst wird es auch eine ""Imfogruppe PTBS"" geben. Aber auch in den Infogruppe zu den Themen Angst, Depression und Sucht kann man viel lernen um seine Schwierigkeiten einzuordnen.

Vielen vielen Dank für alles!
Ich kann diese Klinik nur weiterempfehlen!

Schade ist, dass die Behandlungszeit auf 6 Wochen verkürzt wurde. Mir, als Traumapatientin, fällt es immer schwer ins ""Reden"" zu kommen und eine Basis zu schaffen, von der aus ich mich in die ""Untiefen meiner Seele"" begeben kann.",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Schlecht!
Diese Bewertung geht nicht in die Gesamtbewertung ein",15.12.2014,Psychosomatik,"Ich war im Sommer 2014 in der Traumklinik von Wahrendorff. Ich muss sagen, dass das ganze Konzept auf Verhaltenstherapie gestützt ist. Man schaut hauptsächlich auf das jetzige Leben und bekommt viel Theorie über Gefühle und Skills. Leider wird überhaupt nicht an der Ursache gearbeitet. Dissoziationen, Anteile usw. werden überhaupt nicht beachtet und auch nicht, wie sie entstanden sind. Das ist so, als würde man einen Alkoholiker zwar den Alkohol wegnehmen, aber die Ursache warum er dazu gegriffen hat wird nicht bearbeitet.

Zu der Traumexposition kann ich nur sagen, es wird sehr brutal gemacht und ich kenne viele, die durch die Verhaltenstherapeutische Technik der Traumtherapie retraumatisiert wurden.

Ich habe eine sehr gute tiefenpsychologische Traumatherapeutin gefunden die im Traumnetzwerk integriert ist. Selbst die sagte, dass viele Kliniken u.a. die Wahrendorff Klinik viel zu sehr Verhaltenstherapeutisch ist und das kurzfristig was bringt, aber da die Ursache nicht bearbeitet wird kommen die Symthome immer und immer wieder.

Das gleiche gilt auch für die Traumambulanz und die Tageskliniken der Wahrendorff ""Kette"".",star-0,star-0,star-0,star-4
Klinikum Wahrendorff,"Alkoholtherapie
Diese Bewertung geht nicht in die Gesamtbewertung ein",17.11.2014,Psychiatrie,"Kann mich dem was Salamander geschrieben hat nur anschließen.
Habe die selbe Erfahrung dort gemacht.
Schulnote: 1",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Pyschatrie JWK 1
Diese Bewertung geht nicht in die Gesamtbewertung ein",09.11.2014,Psychiatrie,"War wegen Depression und Angststörung stationär 6 Wochen in Behandlung. Da es mir schlecht ging und ich grosse Hoffnungen hatte das mir dort geholfen wird bin ich freiwillig in die klinik gegangen. Leider war es für mich eine schreckliche Erfahrung , ich hatte Patienten im Zimmer die mir noch mehr Angst machten , eine stierte nur gegen die Wand , die andere ritzte sich in der Nacht und das ganze Zimmer war blutig. Leider wurde man nicht nach Erkrankungsbild zusammen gelegt. Die Visite einmal die Woche war der Horror, man saß in der Mitte im Raum und um einen herum ca. 10 Personen die Oberärztin war sehr dominant und lies einen nicht ausreden , sondern legte einen die Worten in den Mund. Wer nicht gerne bastelt hat ein Problem , ich hatte keine Lust Mandalas auszumalen oder Taschen zu bemalen. Morgens und Abends hieß es anstellen zur Medikamenteneinnahme , stand man in der Schlange vorm Schwesternzimmer. Bis auf einige Ausnahmen war das Personal genervt und man hatte das Gefühl das sie die Patienten sowieso für bekloppt halten. Ich habe mich trotz der Leute noch nie so allein gefühlt und mir ging es statt besser zusehends schlechter. Nach 6 Wochen ging ich so nachhause wie ich rein gekommen bin, habe mich zuhause langsam erholt. Wenn ich an die Zeit zurück denke bekomme ich immer noch Angst. Die JWK 1 ist nicht zu empfehlen, leider hört es sich auf der Internetseite von Wahrendorff so gut an, aber leider ist es nicht so.",star-0,star-0,star-0,star-2
Klinikum Wahrendorff,"Alkoholentzugstherapie (Spitzenklasse mit vielen Emotionen)
Diese Bewertung geht nicht in die Gesamtbewertung ein",09.11.2014,Psychiatrie,"Wo fange ich am besten an.

Ja, Alkohol und ich. Lange Geschichte, viel Leid,und viel Einsamkeit. Im Laufe meines Lebens hab ich und meine Familie dann zwangsweise mit, leider schon sehr viele Entzugstherapien durchmachen müssen. Ich denke also durch die Erfahrung kann ich mittlerweile Kliniken, Krankenschwestern und Ärzte gut einschätzen.
Bis dato dachte ich, zu Alkohol kann mir niemand was beibringen bzw. vormachen, hatte viel gelesen viel erfahren und mich viel mit dem Thema beschäftigt. Doch was ich im Klinikum Wahrendorff auf der FWK3 erlebt habe, hat mich nachhaltig verändert. Angefangen hat diese Veränderung mit einem Kennenlerngespräch mit dem dortigen Arzt. Ich dachte zuerst, oh je schon wieder so ein ""junger Bengel"",der mir was erzählen will, und mich eh nur zweit rangig behandelt.
Doch der Arzt war anders,es ist schwer zu beschreiben. Aber er hat mich mit seiner offenen Art, dem Humor und Fragen,die mir noch niemand bis dato gestellt hatte, sehr berührt. Er erzählte über das Konzept, nennt sich qualifizierte Entgiftungstherapie und ich merkte sofort dieser Mann ist mit Herzblut dabei. Dann folgten weitere Gespräche mit Schwestern, Psychologinnen und der Sozialarbeiterin. Alles wirklich positiv und ich konnte viel über mich erfahren in den Gruppen. Hab Handwerkszeug an die Hand bekommen, was man tun kann, wenn es einem mal wieder überkommt...
Ich muss sagen ich bin schlichtweg begeistert, deswegen wahrscheinlich auch dieser Bericht.
Ein wirklich hervoragendes Team an kompetenten Leuten, die mir auch meine Scham und Schuldgefühle genommen haben.

Tip: Wenn man sich für die Therapie dort entschieden hat,versucht unbedingt an der Gruppe von diesem Arzt teilzunehmen.Er vergleicht dort die Alkoholsucht mit der Liebe, einer alten Liebe die immer da ist, mal mehr mal weniger, wie Liebeskummer,er spricht in wirklich bewegenden Bildern ,ich glaube ich habe nach einer Gruppe noch nie so viel geweint, positiv geweint, es hat mich einfach komplett berührt. Viel Kraft",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"traumatisierende klinik
Diese Bewertung geht nicht in die Gesamtbewertung ein",05.11.2014,Psychiatrie,"Ich war dort in 2008. Vorher habe ich über diese Erfahrung gar nichts schreiben können. Es hat mich schwerst traumatisiert, so das ich jetzt, 6 Jahre später, immer noch flashbacks habe, nicht einschlafen oder durchschlafen kann. Ich kann es nicht mal richtig verarbeiten weil ich über die Erniedrigung gar nicht sprechen oder denken kann.
Was mir sehr wichtig ist, und ich hoffe das es sich dort mittlerweile geändert hat, aber sei bitte Vorsicht wenn sie die Türen zuschließen.",star-0,star-0,star-0,star-0
Klinikum Wahrendorff,"Achtsamkeit und Psychoedukation!
Diese Bewertung geht nicht in die Gesamtbewertung ein",01.10.2014,Psychiatrie,"Ich bin sehr positiv überrascht.

Das Personal hat immer Zeit sich meine Probleme anzuhören und darauf einzugehen. Die Therapeuten sind alle spitzenmässig und speziel der Sozialdienst hilft einen erstklassig bei Fragen zu Dukomenten/ Anträgen/ etc.

In der 'Psychoedukation' lernt man alles über seine Krankheit und kann den Therapeuten fragen stellen und bekommt kompetente Antworten. In der 'Gruppe Sozialer Komepetenzen' wiedererlernt man mit anderen Mitmenschen zu kommunizieren und beim 'Emotionstraining' lernt man mit seinen Gefühlen besser umzugehen und was man tun und nicht tun sollte in den diversen Situationen!

Einmal die Woche kocht die Gruppe gemeinsam, was einem hilft mit anderen zu kommunizieren, kontakte aufzubauen und neues zu erlenern.

Die Räumlichkeiten der 'Tagesklinik für Männer' sind sehr angenehm und erinnern einem nicht daran das man sich in einer Klinik befindet!",star-6,star-6,star-4,star-6
Klinikum Wahrendorff,"KTP -- Ja Bitte
Diese Bewertung geht nicht in die Gesamtbewertung ein",28.09.2014,Psychiatrie,"Ich habe mich dieses Jahr (2014) 12 Wochen in der KTP aufgehalten und wurde hervorragend therapiert.
Die Psychotherapeutinnen arbeiten äußerst sensibel und gehen sehr einfühlsam mit den Patienten um.
Von den Pflegekräften ganz zu schweigen. Bestens geschult und immer ein offenes Ohr für die Patienten.
Von der Sozialarbeiterin bis hin zur Ergotherapeutin nur nettes und freundliches Fachpersonal.
Selbst die Hauswirtschafterin steht einem mit Rat und Tat zu Seite.
Alles in Allem: DIE Klinik für Patienten mit ähnlichen Krankheitsbildern.
Danke KTP !!!!!
Andreas Worm",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Moderne Achtsamkeitstherapie statt Aversionsansatz (Kaserne)
Diese Bewertung geht nicht in die Gesamtbewertung ein",19.09.2014,Suchttherapie,"Ich, fünfzig Jahre alt, war mehrfach zu einer sogenannten qualifizierten Entgiftung auf den Stationen KiP I, KiP II und FWK III.
Bitte geht nie in ein allgemeines Krankenhaus,dort wird man mit Medikamenten abgeschossen, bis die Bettpfanne winkt. Hier hat man große Erfahrung mit der Entgiftung : Medikamente gibt es variabel, auch nach subjektiven Zustand und durch die Pflege ohne einen um 3 Uhr morgens ohnehin nicht auffindbaren Arzt.
Es ist eine psychiatrische Einrichtung und kein Ponyhof. Selbstverständlich erfolgen Maßnahmen, wenn jemand ausflippt und auch sonst gilt : wie man in den Wald hineinruft .......
Aber, das Konzept der.achtsamkeitsbasierten Suchtbehandlung führt zu einem unter diesen Umständen möglichen respektvollen und menschlichen Umgang hin zu der Stärkung von Eigenverantwortung und Selbstwertgefühl . Ich bin dem Personal sehr dankbar.
Was die Unterbringung angeht : es ist Illten und nicht das Hilton. Kann ich auch drauf verzichten, wenn ich als Suchtkranker nur verachtet würde.",star-4,star-4,star-4,star-4
Klinikum Wahrendorff,"kompetente Mitarbeiter
Diese Bewertung geht nicht in die Gesamtbewertung ein",15.08.2014,Psychiatrie,sehr kompetente und schnelle Hilfe.,star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Absolut empehlenswert
Diese Bewertung geht nicht in die Gesamtbewertung ein",22.05.2014,Psychiatrie,"Als Notfall kam ich am 19.4.2014(Ostersamstag )in Begleitung meines Mannes in die Juliane-Wahrendorff-Klinik(JWK 1). Nach kurzer Zeit stand schon eine kompetente Ärztin zur Verfügung, die mir nach einem ersten Gespräch freistellte, ob ich bleiben wolle oder am Dienstag zur stationären Aufnahme wiederkommen wolle. Ich entschied mich zu bleiben und bereue das keine Minute. Nicht nur, dass das Pflegepersonal sehr freundlich und aufmerksam ist, auch die ganze angenehme Atmosphäre in der Klinik spricht für sich. Der einladend gestaltet Eingangbereich, die Blumen auf den Tischen der Station, die gemütlich eingerichteten Zimmer und nicht zuletzt das überaus kompetente Team bestehend aus der Oberärztin und den Therapeuten.
Das auf den Patienten abgestimmte Tagesprogramm ist überaus hilfreich und wohltuend. Es besteht aus verschiedenen Themenbereichen wie:
Autogenes Training, PMR,Imagination, Ergotherapie, Gymnastik , sowie wertvollen Informationsveranstaltungen zu den Bereichen Depression, Phsychose und Ängsten. Außerdem werden Gruppen- und Einzelgespräche geführt.

Noch ein Wort zum Thema Essen:

Das Mittagessen kommt aus einer Großküche, ist aber o.k.Immerhin gibt es für jeden Geschmack (5 Essen zur Auswahl )etwas. Das Frühstück und Abendbrot in Bufettform ist sehr liebevoll und reichhaltig gemacht. Das Küchenpersonal geht sogar teilweise auf Wünsche ein.

Nach 4,5 Wochen konnte ich gestärkt und nahezu gesund (schwere Depression)nach Hause entlassen werden.

Diese Klinik kann ich wirklich empfehlen.",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"kritik
Diese Bewertung geht nicht in die Gesamtbewertung ein",22.05.2014,Psychiatrie,"halo meine verlobte ist nun seit 18 woche da und man bekommt da null auskunft, und personal ist unfreundlich. Möchte auch nicht wissen was die da für versuchen an menschen machen. für mich steht fest , das man da alle angestellte mal einsperren sollte.",star-0,star-0,star-0,star-0
Klinikum Wahrendorff,"In der Klinik bekannter Extrem Schnarcher ( nich witzig)
Diese Bewertung geht nicht in die Gesamtbewertung ein",15.04.2014,Suchttherapie,"Alkohol.
Auf mein Zimmer kam ein Klinik bekannter extrem Schnarcher.
Nach 2 Tagen schlafentzug, war ich so erledigt, das ich mich wieder beschwert habe, der Typ war ehrlich so laut wie ein LKW.
Die 2te Nacht habe ich auf dem Flur verbracht.
Nur durch eine Glasschreibe getrennt.
Erzähl mir was von Klinikregeln.
Ich lag jetzt auf dem Flur, weiter Lärm und Notbeleuchtung vor der Nase, hätte lesen können, wenn ichs noch geschaft hätte.
Jetzt war ich wirklich am ende, unser gewählter Tationssprecher kam vorbei und war sichtlich erstaunt welcher Lärmpegel aus dem Zimmer kam.
Ich habe der Nachtschwester gesagt, noch eine Nacht mach ich nicht mit. 23.30 habe ich die Klinik verlassen als dann noch die Stations Ärtstin sagte, : Herr B, Sie könnnen froh sein, das wir Sie hier aufgenommen haben... (Mit einem grinsen)
Wenn es hier einer wagt meine Worte anzuzweifeln, dann werde ich das gerne beweisen.
Jetzt lächel ich, und die Wahrendorf Klinik ist für mich Geschichte.",star-0,star-2,star-4,star-4
Klinikum Wahrendorff,"Danke! Für mich war der Aufenthalt lebensrettend!
Diese Bewertung geht nicht in die Gesamtbewertung ein",03.03.2014,Psychosomatik,"Wegen einer schweren Depression entschied ich mich nach langer Unsicherheit und suchen(leider bekam ich dabei null Hilfe oder Orientierung von meinen ambulanten Ärzten)für die Station FWK1 im Klinikum Wahrendorff. Dies ist die spezielle Station für Depression und Burnout - ein ausschlaggebender Punkt, denn ich hatte große Angst mit ganz anderen, psychiatrischen krankheitsbildern von Mitpatienten konfrontiert zu werden. Da sich im Gebäude die geschlossene Station direkt über meiner (FWK1) befand, hörte man von jenen ""beängstigend"" psychisch Erkrankten zwar nächtliches Schreien/poltern, war ansonsten aber komplett getrennt hiervon. Meine Mitpatienten waren größtenteils angenehm und durch die sehr ähnlichen Krankheitsbilder traf man gerade in den Gruppentherapien auf viel Verständnis füreinander.

Das Personal war wirklich sehr bemüht, immer hilfsbereit, freundlich und respektvoll! Ganz im Gegenteil also zu meinen vorherigen Ängsten und Vorurteilen einer Psychiatrie gegenüber. Besonders toll und motiviert ist die Ergotherapeutin der man wirklich anmerkt, dass sie ihren Job mit viel Herz und Seele ausführt! Es gibt eine Kreativgruppe, ChiGong, Yoga, Sport und Nordic Walking.

Einzig die Möglichkeiten sich außerhalb der Therapiezeiten zu beschäftigen, sind im Klinikum Wahrendorff ziemlich eingeschränkt. Der Klinikpark ist zwar riesig, jedoch auch sehr karg und eher düster/lieblos gestaltet. Schade - hier könnte man deutlich mehr daraus machen! Einfach mal ein bisschen durch eine Fußgängerzone oder ähnliches schlendern, ist auch nicht möglich. Um die Klinik herum gibt es nichts außer einem Supermarkt und einer Tankstelle. Ansonsten nur Felder und reines Wohngebiet. Da wäre es wünschenswert, wenn wenigstens der Ergotherapie-/Kreativraum durchgehend nutzbar für die Patienten wäre. Dieser ist jedoch nur an drei Tagen pro Woche für jeweils gerade mal 2,5 Stunden geöffnet. Ansonsten gibt es noch ein nett gestaltetes Bad mit Wanne und diverse Wellness Badezusätze für die Patienten. Zudem kann man im Sporttherapiezentrum des Klinikums auch einen Krafttrainingsraum nutzen.

Auf der FWK1 wird nach dem Achtsamkeitskonzept gearbeitet. Für mich war dies und das stetige, praktische Üben der Achtsamkeitstechniken unter Anleitung hilfreich und brachte mich innerlich etwas zur Ruhe. Unterbringung erfolgt in 2-Bett Zimmern (als Kassenpatient) und die Station ist liebevoll gestaltet.",star-6,star-4,star-4,star-4
Klinikum Wahrendorff,"1000 Dank an die JWK 1
Diese Bewertung geht nicht in die Gesamtbewertung ein",22.12.2013,Psychiatrie,"Ich war vom 1.11.2013 bis zum 6.12.2013 auf der JWK1.

Eine super Station.
Super nette und angagierte Oberschwester.So was menschliches bin ich in keinem Krankenhaus begegnet!
Jederzeit ein offenes Ohr.
Super Schwestern!Die sich viel von ihrer Oberschwester abgeschaut haben!!!

Oberärztin super menschlich und jederzeit ansprechbar!!!

Essen am Büffet für jeden was dabei und abwechselungsreich!
Küchenpersonal immer bemüht den Patienten ihre Wünsche zu erfüllen.

Nettes Reinigungspersonal und gemütliche Zimmer!!!

Ich hatte immer Angst in die Psychiatrie zu gehen,aber diese Station hat mir die Angst genommen.Sollte ich nochmals vor die Wahl gestellt,jederzeit wieder die JWK1!!!
Vielen Dank für alles !!!",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Ich habe mich sehr wohl gefühlt
Diese Bewertung geht nicht in die Gesamtbewertung ein",03.12.2013,Psychiatrie,"Ich habe gute Erfahrungen mit dieser Klinik gemacht. Eine gemütliche eingerichtete Station, nette PflegerInnen, die sich gut um die Patienten kümmern. Auch das Therapieangebot war gut und hat mich weitergebracht.",star-6,star-4,star-4,star-6
Klinikum Wahrendorff,"Reine Nervensache
Diese Bewertung geht nicht in die Gesamtbewertung ein",12.10.2013,Psychiatrie,"Hallo, ich bin seit etwa 12 Jahren in Behandlung der Psychiatrie Wahrendorff. Um es gleich zu Sagen, mein Vertrauen in diese Anstalt ist gleich Null. Um meine Seelische Gesundheit muss ich mich selber kümmern. Man wird halt ruhig gestellt und läßt das halbe Leben vor die Säue gehen. Zwischenzeitlich ging es mir ziemlich schlecht. Die Tablettenration wurde ohne Absprache erhöht, Das Essen liegt wie Mörtel im Magen und das Personal ist größtenteils unfreundlich und abweisend. Man fühlt sich alleingelassen und die Unsicherheit dem Ganzen gegenüber macht es nicht besser. Die Parkanlagen sind schön, sind aber wohl dazu da um sich dieses Kranke Haus schönzureden. Machen wir uns doch nichts vor, sind das wirklich Sorgen um Einen oder ist das Hassgesteuerte Hilflosigkeit. Der Elektriker dieser Anstalt ist wohl Frankenstein. Seelisches Brachland wünsch ich mir etwas anders. Ich habe gelernt mir einen Spaß aus dem Leben mit dieser Anstalt zu machen. Ein lang andauernder Zustand bleibt es aber.",star-2,star-2,star-2,star-2
Klinikum Wahrendorff,"Klinikbewertung!!
Diese Bewertung geht nicht in die Gesamtbewertung ein",11.10.2013,Psychiatrie,"Hallo meine Lieben!
Ich bin gestern nach 6 Wochen vorläufig entlassen worden, aus der KTP ( Traumaklinik ) in Kötenwald.
Es war mein erster Aufenthalt in solch einer Institution.
Ich bin dermaßen begeistert vom Klinikpersonal insbesondere
der Psychotherapheuten, das ich Euch im Falle einer traumatischen Erkrankung diese Klinik wärmstens ans Herz lege.
Ihr werdet begeistert sein vom schnellen Fortschritt in Sachen Traumabewältigung sowie vom Aufbau Eurer Persönlichkeit.
Das Essen in Form eines Büffets ist Spitze und die Zimmer sind gemütlich.
Alles Gute!!!
Andreas W.",star-6,star-6,star-6,star-6
Klinikum Wahrendorff,"Gerontopsychiatrie
Diese Bewertung geht nicht in die Gesamtbewertung ein",08.09.2013,Psychiatrie,"Meine Mutter (71) war in der Gerontopsychiatrie Aufnahmeklinik Köthenwald wegen einer Angststörung/Panikstörung in Behandlung. Ihr gefielen die angebotenen Therapien (Hockergruppe fand sie am besten da
sie in ihrer Mobilität (Rollator)stark eingeschränkt ist).Was sie nicht so toll fand, war fünf Patienten dicht an dicht zusammen in einen Zimmer gesteckt. Essen war in Ordnung, jedoch wenig frischer Salat und Obst. Als sie nach zirca 2 - 3 Wochen ein Probewochenende Zuhause verbringen sollte bekam sie ein
Futterpaket für zwei Tage mit ,was hauptsächlich aus belegten Broten, Keksen und jede menge Schokoriegel bestand(Sorry aber das geht bei einen Diabetiker der fünfmal am Tag Insulin spritzen muss gar nicht)!!. Was meiner Meinung
nach absolutes NoGo ist wenn man draußen im Garten auf der Bank sitzt um eine zu Rauchen bzw. sich mal mit Patienten unterhält dauert es nicht lange und es kommen die (Sorry für den Ausdruck) total bekloppten aus den umliegenden Häusern und betteln einen um Geld und Zigaretten an oder urinieren auf den Rasen (einfach nur ekelig).",star-4,star-4,star-4,star-4
Klinikum Wahrendorff,"fwk3 einfach super
Diese Bewertung geht nicht in die Gesamtbewertung ein",13.06.2013,Suchttherapie,"Ich war in wahrendorff auf der fwk3 ich bin dort hin weil ich ein alcoholproblem habe.
Die aufnahme dort ging sehr fix eine junge frau zeigte mir die räumlichkeiten von ergotherapie räume,akupunturraum,gruppenräme und einen pc raum.
Ich war dort in einem 3 bett zimmer mit eigenem wc und dusche sehr gepflegt das ganze,ausserdem ein wirklich schönen großen park.
Das Team auf der fwk3 ist echt klasse sie waren immer da haben geholfen wo sie konnten.",star-6,star-6,star-6,star-6
